"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
7,7,24.5,23.9637918711988,11.7022095554267,39.116487070895
7,7.25,26.28125,25.6523935089322,13.109887716107,40.4416853601256
7,7.5,28.125,29.4053937913601,14.6331458167914,47.942566808193
7,7.75,30.03125,31.2611488783135,15.7105370877813,49.4188054249614
7,8,32,32.7409352278932,17.5280704335061,52.6464095715151
7,8.25,34.03125,30.4557079971346,13.6595573189404,47.082404051963
7,8.5,36.125,36.1543136022824,18.6290162235779,55.5539189636634
7,8.75,38.28125,40.7128249124779,20.1892845376925,63.6661186174349
7,9,40.5,45.2464362387986,22.8943336030912,73.2622486676931
7,9.25,42.78125,45.2100685652974,23.071405513751,72.8270489352757
7,9.5,45.125,44.2403426174222,23.1625432335625,70.2416455648281
7,9.75,47.53125,46.1109734302899,23.9110262681932,74.9765017161754
7,10,50,53.6410943392574,28.253132431858,87.35750462071
8,1,0.5,0.645106890462773,0.10730200154833,1.3931774982071
8,1.25,0.78125,0.922214824737853,0.25079106756019,1.93003604922983
8,1.5,1.125,0.866559336110162,0.242062093489738,1.68152080296677
8,1.75,1.53125,1.55789055208515,0.517970507740636,2.98958155885063
8,2,2,1.83995993994356,0.715741903759287,3.23842288215347
8,2.25,2.53125,2.45569991410054,1.05987469954982,4.16144645813765
8,2.5,3.125,2.88518193302385,1.19942286267535,4.94604069311662
8,2.75,3.78125,3.15309411832505,1.22283905441034,5.44729257458557
8,3,4.5,2.77036116378786,1.19945321539957,4.58527382790415
8,3.25,5.28125,4.74010657032798,2.34304724578381,8.12543251285824
8,3.5,6.125,6.76156968169252,3.31158028138804,11.0510304795493
8,3.75,7.03125,6.67296424906797,3.4440918540915,10.2607508512831
8,4,8,8.45486905152181,4.39746223904034,13.5354523436904
8,4.25,9.03125,10.5910255189229,5.45256585944445,16.8854251625894
8,4.5,10.125,10.7212808013991,5.86435031979568,16.701861793707
8,4.75,11.28125,11.3459754432056,6.22391885126098,17.782539094907
8,5,12.5,13.8229935802376,7.04476306697868,22.1425600984646
8,5.25,13.78125,13.8441086808076,7.56236728992862,21.6335924520428
8,5.5,15.125,15.451454972249,8.15849121841178,24.3154038136977
8,5.75,16.53125,15.2976682561043,7.98821876617282,23.5564571222915
8,6,18,17.697559967457,9.31506160533996,27.5396871547049
8,6.25,19.53125,16.958095704283,8.85553105232797,26.9980665181857
8,6.5,21.125,21.7567128244057,11.0301580101379,33.6416087539612
8,6.75,22.78125,21.1412237871864,11.1258674396002,33.7681957705725
8,7,24.5,24.8922677107939,12.806197486597,39.025253884548
8,7.25,26.28125,23.727570703858,12.8718258334756,37.594371670175
8,7.5,28.125,28.4879481251082,15.4758826868649,43.6090744700181
8,7.75,30.03125,27.8595773597463,15.7382478706393,42.6659293618105
8,8,32,33.5951613539704,18.2425201583038,51.7574611256352
8,8.25,34.03125,31.9119461683463,16.3795142963407,48.6542352212999
8,8.5,36.125,35.306295429493,19.4717536235982,54.4309083386336
8,8.75,38.28125,37.6427202732903,19.8113851462755,57.6757599204564
8,9,40.5,38.7958996823681,21.3526310002637,60.7331127237984
8,9.25,42.78125,46.1051864872252,23.8518590207909,72.4427300062658
8,9.5,45.125,46.1275350950486,24.5625529719811,70.3116853137949
8,9.75,47.53125,48.3784937681559,27.14686291583,73.6501049190974
8,10,50,50.802671827106,26.9728569956887,77.2656580245696
9,1,0.5,1.03132513665279,0.322388132193445,1.95632310315335
9,1.25,0.78125,0.838662813272725,0.24567906662418,1.61548177507716
9,1.5,1.125,0.821823970436041,0.14712239640264,1.66445789786783
9,1.75,1.53125,1.20336219344009,0.36615193965895,2.24149869379777
